ID1_clustid	ID2_clustid	ID1	ID2	P1_zscore
0_KOG0803	0_KOG0891	KOG0803	KOG0891	25.752703
0_KOG0858	0_KOG1357	KOG0858	KOG1357	25.752703
0_KOG1550	0_KOG3394	KOG1550	KOG3394	25.752703
0_KOG1540	0_KOG1652	KOG1540	KOG1652	25.752703
0_KOG0749	0_KOG1540	KOG0749	KOG1540	25.752703
0_KOG0858	0_KOG2020	KOG0858	KOG2020	25.752703
0_KOG0731	0_KOG1287	KOG0731	KOG1287	25.752703
0_KOG1607	0_KOG1662	KOG1607	KOG1662	25.752703
0_KOG1286	0_KOG2171	KOG1286	KOG2171	25.752703
0_KOG1357	0_KOG1373	KOG1357	KOG1373	25.752703
0_KOG0858	0_KOG1278	KOG0858	KOG1278	25.752703
0_KOG0767	0_KOG1014	KOG0767	KOG1014	25.752703
0_KOG1278	0_KOG1357	KOG1278	KOG1357	25.752703
0_KOG0749	0_KOG3767	KOG0749	KOG3767	25.752703
0_KOG1692	0_KOG1693	KOG1692	KOG1693	25.752703
0_KOG0858	0_KOG1014	KOG0858	KOG1014	25.752703
0_KOG1058	0_KOG2635	KOG1058	KOG2635	25.752703
0_KOG1607	0_KOG1889	KOG1607	KOG1889	25.752703
0_KOG0858	0_KOG1484	KOG0858	KOG1484	25.752703
0_KOG1531	0_KOG1662	KOG1531	KOG1662	25.752703
0_KOG2725	0_KOG2941	KOG2725	KOG2941	25.752703
0_KOG1652	0_KOG2725	KOG1652	KOG2725	25.752703
0_KOG1286	0_KOG3094	KOG1286	KOG3094	25.752703
0_KOG0767	0_KOG1286	KOG0767	KOG1286	25.752703
0_KOG0858	0_KOG2443	KOG0858	KOG2443	25.752703
0_KOG0731	0_KOG1373	KOG0731	KOG1373	25.752703
0_KOG0858	0_KOG1746	KOG0858	KOG1746	25.752703
0_KOG1014	0_KOG1540	KOG1014	KOG1540	25.752703
0_KOG0057	0_KOG0858	KOG0057	KOG0858	25.752703
0_KOG1357	0_KOG1607	KOG1357	KOG1607	25.752703
0_KOG1692	0_KOG2952	KOG1692	KOG2952	25.752703
0_KOG1287	0_KOG2864	KOG1287	KOG2864	25.752703
0_KOG1287	0_KOG1688	KOG1287	KOG1688	25.752703
0_KOG1373	0_KOG1889	KOG1373	KOG1889	25.752703
0_KOG0756	0_KOG1014	KOG0756	KOG1014	25.752703
0_KOG1357	0_KOG3094	KOG1357	KOG3094	25.752703
0_KOG1607	0_KOG2443	KOG1607	KOG2443	25.752703
0_KOG1287	0_KOG2978	KOG1287	KOG2978	25.752702
0_KOG0202	0_KOG1357	KOG0202	KOG1357	25.752702
0_KOG0057	0_KOG0751	KOG0057	KOG0751	25.752702
0_KOG1889	0_KOG2957	KOG1889	KOG2957	25.752702
0_KOG0858	0_KOG1185	KOG0858	KOG1185	25.752702
0_KOG1110	0_KOG1484	KOG1110	KOG1484	25.752702
0_KOG1540	0_KOG3094	KOG1540	KOG3094	25.752702
0_KOG1607	0_KOG1688	KOG1607	KOG1688	25.752702
0_KOG1484	0_KOG2729	KOG1484	KOG2729	25.752702
0_KOG1373	0_KOG2729	KOG1373	KOG2729	25.752702
0_KOG1889	0_KOG2667	KOG1889	KOG2667	25.752702
0_KOG1746	0_KOG1889	KOG1746	KOG1889	25.752702
0_KOG2292	0_KOG3342	KOG2292	KOG3342	25.752702
0_KOG1287	0_KOG1889	KOG1287	KOG1889	25.752702
0_KOG0858	0_KOG1358	KOG0858	KOG1358	25.752702
0_KOG0082	0_KOG0395	KOG0082	KOG0395	25.752702
0_KOG1278	0_KOG1484	KOG1278	KOG1484	25.752702
0_KOG0751	0_KOG1889	KOG0751	KOG1889	25.752702
0_KOG0858	0_KOG3187	KOG0858	KOG3187	25.752702
0_KOG0202	0_KOG1286	KOG0202	KOG1286	25.752702
0_KOG1287	0_KOG2729	KOG1287	KOG2729	25.752702
0_KOG2292	0_KOG2459	KOG2292	KOG2459	25.752702
0_KOG1373	0_KOG2667	KOG1373	KOG2667	25.752702
0_KOG1540	0_KOG2667	KOG1540	KOG2667	25.752702
0_KOG0744	0_KOG1128	KOG0744	KOG1128	25.752702
0_KOG0858	0_KOG2941	KOG0858	KOG2941	25.752702
0_KOG0392	0_KOG1127	KOG0392	KOG1127	25.752702
0_KOG1607	0_KOG2725	KOG1607	KOG2725	25.752702
0_KOG2198	0_KOG3273	KOG2198	KOG3273	25.752702
0_KOG1484	0_KOG2759	KOG1484	KOG2759	25.752702
0_KOG1014	0_KOG2759	KOG1014	KOG2759	25.752702
0_KOG1992	0_KOG2020	KOG1992	KOG2020	25.752702
0_KOG0759	0_KOG3767	KOG0759	KOG3767	25.752702
0_KOG0202	0_KOG1373	KOG0202	KOG1373	25.752702
0_KOG1278	0_KOG1286	KOG1278	KOG1286	25.752702
0_KOG1286	0_KOG2729	KOG1286	KOG2729	25.752702
0_KOG1357	0_KOG2952	KOG1357	KOG2952	25.752702
0_KOG1484	0_KOG2941	KOG1484	KOG2941	25.752702
0_KOG0858	0_KOG2864	KOG0858	KOG2864	25.752702
0_KOG1014	0_KOG1373	KOG1014	KOG1373	25.752702
0_KOG1484	0_KOG1746	KOG1484	KOG1746	25.752701
0_KOG0858	0_KOG1581	KOG0858	KOG1581	25.752701
0_KOG1287	0_KOG1358	KOG1287	KOG1358	25.752701
0_KOG2443	0_KOG2729	KOG2443	KOG2729	25.752701
0_KOG2729	0_KOG3187	KOG2729	KOG3187	25.752701
0_KOG1889	0_KOG2978	KOG1889	KOG2978	25.752701
0_KOG1357	0_KOG1540	KOG1357	KOG1540	25.752701
0_KOG1373	0_KOG1688	KOG1373	KOG1688	25.752701
0_KOG3106	0_KOG3574	KOG3106	KOG3574	25.752701
0_KOG0172	0_KOG1652	KOG0172	KOG1652	25.752701
0_KOG1239	0_KOG1652	KOG1239	KOG1652	25.752701
0_KOG2729	0_KOG3094	KOG2729	KOG3094	25.752701
0_KOG1607	0_KOG2292	KOG1607	KOG2292	25.752701
0_KOG1889	0_KOG2592	KOG1889	KOG2592	25.752701
0_KOG0858	0_KOG1992	KOG0858	KOG1992	25.752700
0_KOG0172	0_KOG1358	KOG0172	KOG1358	25.752700
0_KOG0020	0_KOG0190	KOG0020	KOG0190	25.752700
0_KOG0820	0_KOG2978	KOG0820	KOG2978	25.752700
0_KOG0101	0_KOG0190	KOG0101	KOG0190	25.752700
0_KOG1128	0_KOG2759	KOG1128	KOG2759	25.752700
0_KOG1358	0_KOG1889	KOG1358	KOG1889	25.752700
0_KOG2403	0_KOG3049	KOG2403	KOG3049	25.752700
0_KOG2443	0_KOG2952	KOG2443	KOG2952	25.752700
0_KOG0767	0_KOG1358	KOG0767	KOG1358	25.752700
0_KOG1540	0_KOG2729	KOG1540	KOG2729	25.752700
0_KOG1287	0_KOG1581	KOG1287	KOG1581	25.752700
0_KOG1110	0_KOG1540	KOG1110	KOG1540	25.752700
0_KOG0172	0_KOG0811	KOG0172	KOG0811	25.752700
0_KOG0202	0_KOG0858	KOG0202	KOG0858	25.752700
0_KOG1286	0_KOG1402	KOG1286	KOG1402	25.752699
0_KOG2978	0_KOG3767	KOG2978	KOG3767	25.752699
0_KOG1353	0_KOG1531	KOG1353	KOG1531	25.752699
0_KOG0767	0_KOG1652	KOG0767	KOG1652	25.752699
0_KOG3574	0_KOG3767	KOG3574	KOG3767	25.752699
0_KOG1652	0_KOG2941	KOG1652	KOG2941	25.752699
0_KOG1287	0_KOG2941	KOG1287	KOG2941	25.752699
0_KOG0858	0_KOG1286	KOG0858	KOG1286	25.752699
0_KOG1373	0_KOG2292	KOG1373	KOG2292	25.752699
0_KOG2189	0_KOG2952	KOG2189	KOG2952	25.752699
0_KOG1286	0_KOG1287	KOG1286	KOG1287	25.752699
0_KOG1484	0_KOG2592	KOG1484	KOG2592	25.752698
0_KOG1746	0_KOG2729	KOG1746	KOG2729	25.752698
0_KOG1286	0_KOG1746	KOG1286	KOG1746	25.752698
0_KOG0751	0_KOG0759	KOG0751	KOG0759	25.752698
0_KOG1357	0_KOG1692	KOG1357	KOG1692	25.752698
0_KOG1402	0_KOG1540	KOG1402	KOG1540	25.752698
0_KOG1652	0_KOG2978	KOG1652	KOG2978	25.752698
0_KOG2941	0_KOG3094	KOG2941	KOG3094	25.752698
0_KOG1373	0_KOG1746	KOG1373	KOG1746	25.752698
0_KOG0858	0_KOG2877	KOG0858	KOG2877	25.752698
0_KOG0858	0_KOG3083	KOG0858	KOG3083	25.752698
0_KOG1540	0_KOG4444	KOG1540	KOG4444	25.752698
0_KOG1540	0_KOG2592	KOG1540	KOG2592	25.752698
0_KOG1540	0_KOG2957	KOG1540	KOG2957	25.752698
0_KOG2759	0_KOG2978	KOG2759	KOG2978	25.752697
0_KOG0070	0_KOG1377	KOG0070	KOG1377	25.752697
0_KOG2864	0_KOG3094	KOG2864	KOG3094	25.752697
0_KOG2729	0_KOG2978	KOG2729	KOG2978	25.752697
0_KOG1540	0_KOG1746	KOG1540	KOG1746	25.752697
0_KOG0751	0_KOG1287	KOG0751	KOG1287	25.752697
0_KOG1357	0_KOG3187	KOG1357	KOG3187	25.752697
0_KOG1286	0_KOG1357	KOG1286	KOG1357	25.752697
0_KOG1357	0_KOG2456	KOG1357	KOG2456	25.752696
0_KOG1889	0_KOG4002	KOG1889	KOG4002	25.752696
0_KOG0172	0_KOG1707	KOG0172	KOG1707	25.752696
0_KOG0749	0_KOG0767	KOG0749	KOG0767	25.752696
0_KOG2941	0_KOG2952	KOG2941	KOG2952	25.752696
0_KOG0172	0_KOG0751	KOG0172	KOG0751	25.752696
0_KOG2443	0_KOG2941	KOG2443	KOG2941	25.752696
0_KOG1373	0_KOG2978	KOG1373	KOG2978	25.752696
0_KOG0858	0_KOG1688	KOG0858	KOG1688	25.752696
0_KOG0767	0_KOG2443	KOG0767	KOG2443	25.752696
0_KOG0789	0_KOG1540	KOG0789	KOG1540	25.752696
0_KOG1435	0_KOG2729	KOG1435	KOG2729	25.752696
0_KOG1652	0_KOG2759	KOG1652	KOG2759	25.752696
0_KOG1255	0_KOG2799	KOG1255	KOG2799	25.752696
0_KOG2443	0_KOG3187	KOG2443	KOG3187	25.752696
0_KOG0802	0_KOG1373	KOG0802	KOG1373	25.752696
0_KOG2459	0_KOG3566	KOG2459	KOG3566	25.752696
0_KOG1286	0_KOG3187	KOG1286	KOG3187	25.752695
0_KOG0751	0_KOG0767	KOG0751	KOG0767	25.752695
0_KOG2729	0_KOG3342	KOG2729	KOG3342	25.752695
0_KOG0042	0_KOG1286	KOG0042	KOG1286	25.752695
0_KOG1746	0_KOG2952	KOG1746	KOG2952	25.752695
0_KOG1287	0_KOG1933	KOG1287	KOG1933	25.752695
0_KOG1484	0_KOG1662	KOG1484	KOG1662	25.752695
0_KOG0202	0_KOG0751	KOG0202	KOG0751	25.752695
0_KOG2729	0_KOG2877	KOG2729	KOG2877	25.752694
0_KOG1690	0_KOG1691	KOG1690	KOG1691	25.752694
0_KOG2067	0_KOG2952	KOG2067	KOG2952	25.752694
0_KOG0751	0_KOG1652	KOG0751	KOG1652	25.752694
0_KOG1652	0_KOG2443	KOG1652	KOG2443	25.752694
0_KOG1358	0_KOG2978	KOG1358	KOG2978	25.752694
0_KOG2952	0_KOG3996	KOG2952	KOG3996	25.752694
0_KOG0858	0_KOG1933	KOG0858	KOG1933	25.752693
0_KOG0082	0_KOG1286	KOG0082	KOG1286	25.752693
0_KOG0858	0_KOG1693	KOG0858	KOG1693	25.752693
0_KOG1889	0_KOG2729	KOG1889	KOG2729	25.752693
0_KOG0873	0_KOG1607	KOG0873	KOG1607	25.752693
0_KOG1693	0_KOG3342	KOG1693	KOG3342	25.752693
0_KOG0751	0_KOG1357	KOG0751	KOG1357	25.752693
0_KOG0756	0_KOG1540	KOG0756	KOG1540	25.752692
0_KOG1889	0_KOG2952	KOG1889	KOG2952	25.752692
0_KOG1484	0_KOG3296	KOG1484	KOG3296	25.752692
0_KOG2292	0_KOG2952	KOG2292	KOG2952	25.752692
0_KOG0749	0_KOG2978	KOG0749	KOG2978	25.752692
0_KOG1889	0_KOG2759	KOG1889	KOG2759	25.752691
0_KOG1531	0_KOG1540	KOG1531	KOG1540	25.752691
0_KOG1484	0_KOG1531	KOG1484	KOG1531	25.752691
0_KOG0767	0_KOG1287	KOG0767	KOG1287	25.752691
0_KOG1889	0_KOG3187	KOG1889	KOG3187	25.752691
0_KOG2725	0_KOG3187	KOG2725	KOG3187	25.752691
0_KOG2608	0_KOG3342	KOG2608	KOG3342	25.752691
0_KOG0292	0_KOG2635	KOG0292	KOG2635	25.752690
0_KOG0858	0_KOG1350	KOG0858	KOG1350	25.752690
0_KOG1691	0_KOG1692	KOG1691	KOG1692	25.752690
0_KOG1484	0_KOG2667	KOG1484	KOG2667	25.752690
0_KOG2952	0_KOG3094	KOG2952	KOG3094	25.752690
0_KOG1652	0_KOG4444	KOG1652	KOG4444	25.752689
0_KOG0858	0_KOG2667	KOG0858	KOG2667	25.752689
0_KOG1350	0_KOG2291	KOG1350	KOG2291	25.752689
0_KOG1691	0_KOG1693	KOG1691	KOG1693	25.752688
0_KOG0802	0_KOG1933	KOG0802	KOG1933	25.752688
0_KOG0756	0_KOG0858	KOG0756	KOG0858	25.752687
0_KOG1185	0_KOG1933	KOG1185	KOG1933	25.752687
0_KOG0202	0_KOG1607	KOG0202	KOG1607	25.752687
0_KOG1484	0_KOG1692	KOG1484	KOG1692	25.752687
0_KOG0858	0_KOG2719	KOG0858	KOG2719	25.752687
0_KOG1540	0_KOG2952	KOG1540	KOG2952	25.752687
0_KOG0675	0_KOG0858	KOG0675	KOG0858	25.752686
0_KOG0204	0_KOG2292	KOG0204	KOG2292	25.752686
0_KOG1287	0_KOG3106	KOG1287	KOG3106	25.752686
0_KOG2864	0_KOG2877	KOG2864	KOG2877	25.752686
0_KOG1358	0_KOG2792	KOG1358	KOG2792	25.752686
0_KOG1270	0_KOG1484	KOG1270	KOG1484	25.752686
0_KOG2725	0_KOG2978	KOG2725	KOG2978	25.752685
0_KOG1992	0_KOG2023	KOG1992	KOG2023	25.752685
0_KOG1373	0_KOG2952	KOG1373	KOG2952	25.752685
0_KOG1014	0_KOG2978	KOG1014	KOG2978	25.752684
0_KOG2592	0_KOG2729	KOG2592	KOG2729	25.752684
0_KOG0204	0_KOG0858	KOG0204	KOG0858	25.752684
0_KOG1357	0_KOG1746	KOG1357	KOG1746	25.752683
0_KOG0675	0_KOG2291	KOG0675	KOG2291	25.752683
0_KOG1688	0_KOG3094	KOG1688	KOG3094	25.752683
0_KOG1889	0_KOG2792	KOG1889	KOG2792	25.752682
0_KOG0767	0_KOG1690	KOG0767	KOG1690	25.752682
0_KOG1540	0_KOG1690	KOG1540	KOG1690	25.752682
0_KOG0867	0_KOG1540	KOG0867	KOG1540	25.752681
0_KOG0042	0_KOG2952	KOG0042	KOG2952	25.752681
0_KOG0802	0_KOG0858	KOG0802	KOG0858	25.752681
0_KOG0731	0_KOG1889	KOG0731	KOG1889	25.752681
0_KOG1014	0_KOG1992	KOG1014	KOG1992	25.752680
0_KOG1357	0_KOG2978	KOG1357	KOG2978	25.752680
0_KOG2952	0_KOG3394	KOG2952	KOG3394	25.752680
0_KOG1357	0_KOG2759	KOG1357	KOG2759	25.752680
0_KOG0395	0_KOG0858	KOG0395	KOG0858	25.752680
0_KOG1484	0_KOG2957	KOG1484	KOG2957	25.752679
0_KOG1693	0_KOG2978	KOG1693	KOG2978	25.752679
0_KOG0811	0_KOG2729	KOG0811	KOG2729	25.752679
0_KOG0068	0_KOG1377	KOG0068	KOG1377	25.752678
0_KOG0751	0_KOG2067	KOG0751	KOG2067	25.752678
0_KOG2443	0_KOG2725	KOG2443	KOG2725	25.752678
0_KOG0811	0_KOG1357	KOG0811	KOG1357	25.752678
0_KOG0759	0_KOG0858	KOG0759	KOG0858	25.752677
0_KOG1287	0_KOG2877	KOG1287	KOG2877	25.752677
0_KOG1607	0_KOG1652	KOG1607	KOG1652	25.752677
0_KOG1287	0_KOG3094	KOG1287	KOG3094	25.752677
0_KOG0858	0_KOG2291	KOG0858	KOG2291	25.752676
0_KOG1540	0_KOG3342	KOG1540	KOG3342	25.752676
0_KOG1889	0_KOG3296	KOG1889	KOG3296	25.752676
0_KOG1278	0_KOG2729	KOG1278	KOG2729	25.752676
0_KOG0767	0_KOG1692	KOG0767	KOG1692	25.752676
0_KOG0042	0_KOG1484	KOG0042	KOG1484	25.752675
0_KOG1358	0_KOG2952	KOG1358	KOG2952	25.752675
0_KOG1357	0_KOG2443	KOG1357	KOG2443	25.752674
0_KOG1286	0_KOG2592	KOG1286	KOG2592	25.752674
0_KOG1540	0_KOG1693	KOG1540	KOG1693	25.752674
0_KOG0811	0_KOG2941	KOG0811	KOG2941	25.752674
0_KOG0042	0_KOG1889	KOG0042	KOG1889	25.752673
0_KOG0811	0_KOG1373	KOG0811	KOG1373	25.752673
0_KOG0054	0_KOG0057	KOG0054	KOG0057	25.752672
0_KOG2792	0_KOG2952	KOG2792	KOG2952	25.752672
0_KOG0057	0_KOG2759	KOG0057	KOG2759	25.752670
0_KOG0172	0_KOG2941	KOG0172	KOG2941	25.752669
