ID1,ID2,species,data,state
ENOG4102NDK,ENOG410RRTK,Hs,0.321877601225,0
ENOG4102NDK,ENOG410RSHA,Hs,0.43634898422,1
ENOG4102NDK,ENOG410RTU8,Hs,-0.000231841417639,0
ENOG4102NDK,ENOG410RUHC,Hs,-0.332534159704,0
ENOG4102NDK,ENOG410RUSA,Hs,0.192354567789,0
ENOG4102NDK,ENOG410RWHH,Hs,0.266714986537,0
ENOG4102NDK,ENOG410RX6V,Hs,0.0253675453783,0
ENOG4102NDK,ENOG410RXSC,Hs,0.392808616438,0
ENOG4102NDK,ENOG410S0BI,Hs,0.651448521603,1
ENOG4102NDK,ENOG410S18U,Hs,-0.121039568357,0
ENOG4102NDK,ENOG410VI9I,Hs,0.316363331232,0
ENOG4102NDK,ENOG410VIAK,Hs,0.341014485866,0
ENOG4102NDK,KOG0007,Hs,0.24550865935,0
ENOG4102NDK,KOG0018,Hs,0.222250324752,0
ENOG4102NDK,KOG0020,Hs,0.688993898564,0
ENOG4102NDK,KOG0050,Hs,0.226407870954,1
ENOG4102NDK,KOG0052,Hs,0.253561601895,1
ENOG4102NDK,KOG0067,Hs,-0.373431818537,0
ENOG4102NDK,KOG0103,Hs,0.277549713792,0
ENOG4102NDK,KOG0107,Hs,0.660666445575,0
ENOG4102NDK,KOG0113,Hs,0.54532704893,0
ENOG4102NDK,KOG0114,Hs,0.173278192805,0
ENOG4102NDK,KOG0115,Hs,-0.125236508741,1
ENOG4102NDK,KOG0116,Hs,0.285627601516,0
ENOG4102NDK,KOG0122,Hs,0.384799058673,0
ENOG4102NDK,KOG0123,Hs,0.0472053187359,0
ENOG4102NDK,KOG0174,Hs,0.133975694191,0
ENOG4102NDK,KOG0175,Hs,0.138858646416,0
ENOG4102NDK,KOG0176,Hs,0.179052024249,0
ENOG4102NDK,KOG0177,Hs,0.0823668005132,0
ENOG4102NDK,KOG0178,Hs,-0.029622912509,0
ENOG4102NDK,KOG0179,Hs,0.201609764921,0
ENOG4102NDK,KOG0180,Hs,0.206114334773,0
ENOG4102NDK,KOG0181,Hs,0.218613421724,0
ENOG4102NDK,KOG0182,Hs,0.213118338355,0
ENOG4102NDK,KOG0183,Hs,0.148078362779,0
ENOG4102NDK,KOG0184,Hs,0.146930543893,0
ENOG4102NDK,KOG0185,Hs,0.158093675075,0
ENOG4102NDK,KOG0213,Hs,0.230823741285,0
ENOG4102NDK,KOG0260,Hs,0.276609586571,0
ENOG4102NDK,KOG0264,Hs,0.671075129935,0
ENOG4102NDK,KOG0333,Hs,0.299671124917,1
ENOG4102NDK,KOG0358,Hs,0.227920852437,0
ENOG4102NDK,KOG0359,Hs,0.29082854118,0
ENOG4102NDK,KOG0361,Hs,0.107870574731,0
ENOG4102NDK,KOG0363,Hs,0.263199867111,0
ENOG4102NDK,KOG0364,Hs,0.291483428447,0
ENOG4102NDK,KOG0466,Hs,0.194480013894,0
